State,Updated Notes,Changes,Final Grade,Grade for Visualization,Grade (anything in parentheses is more generous grading),Reasoning (Presentable),Reasoning,How to improve (rough thoughts),Questions,Math Standards Link,Standards/curriculum cont.,CS Standards Link,Standards related to data science,"NGSS- Have data analysis, interpretation, modeling; though very narrowly focused on science concepts, not clear how advanced/applicable it will be ",CTE if it has relevant material (if nothing then no state-wide list),CTE Hyperlink,Separate class/curriculum or incorporated into other classes,Taking Initiative/state level focus? (has it been in the news recently/are there dedicated programs),Levels of instruction,"Grad Requirements (flexibility) in math, data science (note individual districts may have more specifics)",Grad Requirement cont.,Availability/Access,Public university entry requirements  math- most specify they want you to take challenging courswork,Other notes,,Other
Missouri,,,F,F,F (D),Missouri only has very basic statistics standards and limited standards regarding data interpretation and data visualization. We suggest starting by incorporating more data analysis into math standards and/or piloting electives on data science. ,Basic stats instruction; very basic data vizualization,Comp sci data standards could be more thorough and widespread; state plan,,https://dese.mo.gov/college-career-readiness/curriculum/mathematics,Limited standards involving stats in Alg I and II,https://dese.mo.gov/college-career-readiness/curriculum/computer-science,Very basic data analysis section in comp sci standards,Standards based off NGSS framework,Some in the business/info tech section,N/A,"bit in math, comp sci ",Some focus on comp sci,"middle, high school","3 years required to graduate, 4 recommended. Given standards Alg I, Alg II, and Geo are standard","Can sub one comp sci credit for math, science, or practical arts requirement",comp sci not required in high school,"4 units of Alg I and higher (doesn't list stats, comp sci, or data analysis in acceptable courses)",,,
Montana,,,F,F,F (D-),Montana has very limited standards regarding data science; The state adopts the Common Core with no additional standards. We suggest starting by incorporating more data analysis into math standards and/or piloting electives on data science. ,Usual cc standards; vague data analysis standards for comp sci,,Count comp sci?,http://opi.mt.gov/Educators/Teaching-Learning/K-12-Standards-Revision/Mathematics-Standards,Limited stats instruction for high school standards,http://opi.mt.gov/Educators/Teaching-Learning/K-12-Standards-Revision/Computer-Science,"Comp sci standards cover some data analysis, especially tech tools",Standards based off NGSS framework,"Not much, perhaps touched on in business classes",N/A,"in math, comp sci",recently introduced comp sci standards,"comp sci standards for K-12, relevant stuff in high school","3 credits of math, 1 year of CTE",,comp sci not required in high school,"3 years (4 encouraged) of Alg I, Geo, Alg II",,https://www.education.ne.gov/nce/cis/,
Nebraska,"Nebraska already implemented a CTE sequence and revising it again in a second iteration to make it even more robust. Also revising their state math standards, and will have data science incorporated, though it is not public yet. ",Moved upward.,B-,B,B-,"In mathematics, Nebraska has data analysis and statistics standards within the math framework. However, we feel the standards are overly thereotical and slightly outdated, and do not embed a focus on modern technology as of yet. We suggest incorporating more technology, familiarity with larger data sets into the standards, or potentially exploring ways to incorporate data science into other disciplines. Nebraska also recently created and implemented an explicit sequence for data science in Career & Technical Education as an optional pathway, which has already been adopted by several districts.","Math standards have data analysis, though somewhat theoretical","Incorporate more technology, familiarity with larger data sets into standards; incorporate into other classes",,https://www.education.ne.gov/wp-content/uploads/2017/07/2015_Nebraska_College_and_Career_Standards_for_Mathematics_Vertical.pdf,Very basic stats instruction in grades 9-11 standards,N/A,No comp sci standards,Standards based off NGSS framework,unclear,https://cestandards.education.ne.gov/Courses/NCE_Programs_of_Study_2122.pdf,"in math and maybe comp sci, but district dependent for the most part",Very little initiative; some focus on career readiness that currently doesn't include comp sci,district dependent,"No obvious statewide standards, but individual districts usually require 3 or 4 years",,comp sci not super widespread,"4 years including Alg I, Alg II, Geo, and math beyond Alg II",,,
Nevada,,,C-,C,C-,"Nevada adopts Common Core math standards, which include very limited standards regarding data science and applied statistics. However, the state has some data science standards within the computer science framework, which is required for graduation. We suggest either transfering data science standards to math as well, or piloting a math elective for students who are interested in data science.",Usual cc standards; very vague data analysis section in comp sci but some comp sci/tech education is required,Expand and elaborate on data analysis in comp sci and math standards; more state-level focus,,https://doe.nv.gov/Nevada_Academic_Standards/Math/Standards/,Very basic stats instruction in high school math standards,https://doe.nv.gov/Nevada_Academic_Standards/Computer_Science/,"Data analysis section of comp sci standards, but vague and fairly computer/technology heavy",Adopted,"has comp sci, maybe some business analytics",N/A,comp sci/math,"high schools required to provide comp sci, but no other initiative",middle and high school,"3 credits of math, including Alg I and Geo",0.5 credits of technology or comp sci also required,"comp sci appears to be widespread, but not always common to take it","3 units, Alg I and higher",,,
New Hampshire,"Let's talk about these two, cuz I think it is an interesting case. On one hand, NJ has better standards and requirement. But on the other, NH seems to actually have looser graduation requirements, which enable students to actually take classes in statistics/probabilities, data visualization, etc. How should we grade two?",,C+,C,C-,"New Hampshire adopts Common Core math standards, which include very limited standards regarding data science. However, the state also has technology standards required for middle and high school students, which cover vizualizing and modeling data in computer science (CSTA). We suggest expanding data analysis into math, potentially other disciplines as well.",Usual cc standards; tech standards required for middle and high school do cover vizualizing and modeling data (CSTA); encourages students to take comp sci and schools to integrate it with other courses,"Expand data analysis in math, potentially other classes; incorporate data interpretation as well; require instead of suggest integration",,https://www.education.nh.gov/sites/g/files/ehbemt326/files/inline-documents/standards-math.pdf,"Uses common core for math, section in high school on interpreting data, not very detailed/practical",https://www.education.nh.gov/sites/g/files/ehbemt326/files/inline-documents/sonh/standards-part2.pdf,"Comp sci standards required for graduation (3A)  include data vizualization and modeling using tech, elective standards (3B) involves simulations, models, and data patterns",Adopted,,N/A,"comp sci/math, other classes","encourage incorporation/integration of standards into other classes, not just comp sci","comp sci standards K-12, most relevant material high school",3 credits of math covering math standards that include stats and probability,"0.5 credit in ""information and communications technology""",Some of the comp sci standards are required for graduation,"3 years, including Alg I, Alg II, Geo",,,
New Jersey,,,C+,C,C+,"New Jersey adopts Common Core math standards, which include very limited standards regarding data science. However, the state also has just passed technology standards required for middle and high school students, which cover data vizualization, representation, and transformation. We suggest including more data interpretation into math standards, as well as listing data science as part of the state's ""21st Century Theme"" skills list.","Usual cc standards; required tech standards (for 2022, already passed) require data vizualization, representation, and transformation; does specific ""21st century themes"" be integrated into education but does not explicitly list data science",Include more data interpretation; incorporate more into math; list data science as necessary 21st century theme,Better standards then NH,https://www.nj.gov/education/cccs/2020/2020%20NJSLS-CSDT.pdf,"Uses common core for math, section in high school on interpreting data, not very detailed/practical",https://www.nj.gov/education/cccs/2020/2020%20NJSLS-CSDT.pdf,"Data & analysis sections of comp sci standards covers data science thoroughly--how to collect, understand, and interpret data and data sets",Adopted,"Career tech standrds good in business, Stem for data analysis",N/A,"in comp sci/math, bit in other classes","standards just passed, comp sci seems priority",high school for relevant material,"3 years of math, including Alg I, Geo, and a third year that ""builds on the concepts""",Required technology standards integrated throughout the courses. AP Comp Sci classes can satisfy math requirements,"comp sci required in all high schools, seems more common than other states",doesn't list,,,
New Mexico,,,D-,D,D-,New Mexico only has very basic statistics standards and limited standards regarding data science. We suggest expanding and clarifying math standards regarding data science and applied statistics.,"Straightforward: some comp sci and math standards, no state focus",State plan; expand standards and for comp sci make mandatory/highly encouraged,,https://webnew.ped.state.nm.us/bureaus/instructional-materials/new-mexico-content-standards/,"Uses common core for math, section in high school on interpreting data, not very detailed/practical",https://webnew.ped.state.nm.us/bureaus/instructional-materials/new-mexico-content-standards/,"Follows CSTA K-12 standards, has very limited instruction on data literacy/analysis ",Adopted,,N/A,"in math, comp sci","Focus on comp sci, grants for k-8 comp sci programs",mostly high school,"4 units of math, including Alg II. After Alg II, students can use comp sci to fill the requirement",,"math standards statewide, comp sci not widespread or required in high school",doesn't list,,,
New York,,,D+,D,D+ (C-),"New York adopts Common Core math standards, which include very limited standards regarding data science. However, the state also adopts technology standards required for middle and high school students, which cover some data analysis standards, but not in detail. We suggest expanding and fleshing out the data analysis aspect of the technology standard.",Usual cc standards w/ notes; required tech standards have some data analysis but not detailed ,"Expand data analysis standards in tech standard, make more detailed; expand data interpretation into math, other classes",,http://www.nysed.gov/curriculum-instruction/new-york-state-next-generation-mathematics-learning-standards,Basic/standards stats and probability instruction in math standards,http://www.nysed.gov/curriculum-instruction/computer-science-and-digital-fluency-learning-standards,"Required comp sci and digital fluency standards (Dec 2020, not yet implemented) cover data analysis and dealing with large data sets, modeling, predictions, interpretation, etc",Standards based off NGSS framework,"Advance CTE standrds good in business, Stem for data analysis",N/A,"in math, data analysis to be incorporated into other classes",In process of implementing comp sci/digitial literacy standards into classes; currently developing curricula and will be required 2023-2024 school year,"mostly high school, some in middle school","3 years of math, including one year of ""advanced math"" such as geo or Alg II",,"standards statewide, in process of implementation",3 years of college prep math,,,
North Carolina,,,D,D,D,"North Carolina has a detailed adaption of Common Core standards, which include data analysis standards. However, we feel the standards are more similar to thereotical statistics with limited focus on applicable data science. We suggest incorporating more data interpretation and analysis into the framework. ",More detailed version of cc standards so mostly theoretical stats; vague comp sci standards for data analysis,Include more data interpretation and analysis; push comp sci more and make standards more detailed,,https://www.dpi.nc.gov/teach-nc/curriculum-instruction/standard-course-study/mathematics,"Some stats instruction in Math 1 & 3; covers very basic plots, stats concepts",https://www.dpi.nc.gov/districts-schools/classroom-resources/computer-science-and-technology-education,"Comp sci standards have focus on data modeling/vizualization w/ tech, not much on interpretation",No,CTE supports comp sci; part of middle and high school,N/A,"in math, comp sci","Comp sci standards adopted recently, not much focus beyond that ","mostly high school, some in middle school","Generally Math 1, 2, 3, and another course ""aligned with post high school plans""","Elective options include, but don't required, CTE",Math standards statewide; comp sci not required in high schools,"4 years, generally Alg I, Alg II, Geo, and a unit beyond that",,,
North Dakota,,,D-,D,D-,"North Dakota adopts Common Core math standards, which include very limited standards regarding data science and applied statistics.We suggest starting by incorporating more data analysis into math standards and/or piloting electives on data science.",Usual cc standards; has a very small bit on data analysis in comp sci standards but is at least direct,Expand data science content in standards; state-level plan,,https://www.nd.gov/dpi/sites/www/files/documents/Academic%20Support/v3.Mathematics%20Standards%20Final%208.14.17.pdf,"Basic stats section in math standards, including interpreting stats and making decisions with probability",https://www.nd.gov/dpi/sites/www/files/documents/Academic%20Support/CSCS2019.pdf,Limited data representation instruction in required comp sci standards for high school,Standards based off NGSS framework,Has programming classes for CTE,N/A,"in math, comp sci",Recently passed comp sci standards,high school,"3 units of math, which can include 1 of comp sci",,Comp sci not super widespread,3 years of Alg I and above,,,
Ohio,"Pilot has grown for a second year, and IDS has expanded the districts they work with dramatically. Also working on AI course.",Upped slightly.,B-,B,* B-,"Ohio has a detailed adaption of Common Core standards, which include data analysis standards. Modern technolgy is mentioned, though has yet to be centrally emphasized in Statistics & Probability standards. Additionally, the Ohio Department of Education created a pilot program to implement a high school Data Science Foundations elective in high school mathematics, which is being offered 13 K-12 school districts and 8 Educational Service Centers (ESCs). However, data science content has yet to be required for all students, either as embedded in other subjects or as its own course sequence. We look forward to the results of the pilot and hopefully greater access for students across the state. ",Cc standards but more detail; vague standards for data analysis in comp sci,State-level plan; expand/elaborate on standards in math and comp sci,,http://education.ohio.gov/Topics/Learning-in-Ohio/Mathematics/Ohio-s-Learning-Standards-in-Mathematics,"Thorough stats section of math standards including interpreting data, drawing conclusion, and modeling w/ tech",http://education.ohio.gov/getattachment/Topics/Learning-in-Ohio/Computer-Science/Ohio-s-Learning-Standards-in-Computer-Science/Computer-Science-Standards_Adopted-2018.pdf.aspx?lang=en-US,"Vague standards on data analysis for comp sci, implementation going to depend on district",No,Has programming classes for CTE,N/A,"in math, comp sci (comp sci standards at foundational level are worked into other classes)",Comp sci expanding in the state,mostly high school,"Earning a diploma requires passing tests in addition to four math credits, which must include Alg II or equivalent. Advanced comp sci can sub for Alg II",,comp sci not super widespread,"4 units of math, including Alg II",,,
Oklahoma,,,F,F,F,Oklahoma has very limited standards regarding data science. We suggest starting by incorporating more data analysis into math standards and/or piloting electives on data science. ,Standards cover very basic stats; tiny bit in comp sci,State-level plan; add in much more data science concepts to standards,,https://sde.ok.gov/sites/ok.gov.sde/files/documents/files/OAS-Math-Final%20Version_3.pdf,Very limited standards covering basic stats concepts,https://sde.ok.gov/sites/default/files/documents/files/OAS-CS%20-%20HS.pdf,Basic data analysis section of comp sci standards,Standards based off NGSS framework,,N/A,"in math, comp sci",comp sci standards recently adopted,high school,"3 units required, one can be comp sci. Standards classes appear to be Alg I, Geo, Alg II",,"comp sci expanding, hs now required to provide it","3 units of ""college prep math"", which is standards sequence and above Alg II",,,
Oregon,APRIL CAN YOU DOUBLE-CHECK THIS? SEE YOUR PRIOR NOTE: UPDATE: Oregon taking the updated standards to our State Board for first read next week. The standards will include a K-12 data reasoning progression which was drafted last spring with the help of ASA facilitating the conversation,Upped slightly Think B reflects the effort going on there. Oregon is one of the most ambitious states when it comes to data science. They should have already had the first reading in the State Board. Now making revisions.,B,B,B+,"Oregon's innnovative 2+1 mathmatics model is slated to include a K-12 data science pathway in high school, as well as modernized ""data reasoning"" thread in K-10 that incorporates modern technology. The state is actively making plans to give digital literacy and computer science education to everyone, from kindergarden to high school graduation. We look forward to watching and evaluating the implementation of this new pathway design into classrooms.",Usual cc standards; state wants to make plan to give digital literacy and comp sci education to everyone but no details yet,Really flesh out STEM plan; include more explicit goals around data literacy; implement units/action items,Do they have any specific goals related to data science?,https://www.oregon.gov/ode/educator-resources/standards/mathematics/Pages/MathStandards.aspx,"Uses common core for math, section in high school on interpreting data, not very detailed/practical","N/A, plan to develop in State STEM Plan",State stem plan has goal of creating plan to provide digital literacy and comp sci education to all students ,Adopted,,N/A,"in math, maybe comp sci depending on the district",Stem plan appears to be a step in the right direction,high school mostly,3 units of Algebra I and above,,Comp sci not very widespread,"3 years, including Alg II or above",,,
Pennsylvania,,,F,F,F,Pennsylvania has very limited standards regarding data science. We suggest starting by incorporating more data analysis into math standards and/or piloting electives on data science. ,Vague stats standards; basic comp sci standards,State-level plan; add in much more data science concepts to standards,,https://www.pdesas.org/Page/Viewer/ViewPage/11,Very vague standards for stats in math,https://www.education.pa.gov/Educators/Certification/CertFAQs/Pages/STEMCS.aspx,"Follows CSTA K-12 standards, has very limited instruction on data literacy/analysis ",No,"Path to graduation through CTE, but doesn't really incorporate data science concepts",N/A,small bit in math/comp sci,No initiative beyond fairly flexible graduation paths,high school,Passage of 3 tests or a few other paths including a CTE one,,standards statewide,"don't list, but presumably rigorous traditional sequence",,,
Rhode Island,,,D+,D,D+,"Rhode Island adopts Common Core math standards, which include very limited standards regarding data science and applied statistics. However, the state actively encourages students to use modern technologies such as spreadsheets to engage in data analysis activities. Rhode Island also has good data analysis standards in computer science framework. We suggest starting by incorporating more data analysis into math standards and other mandatory disciplines",CC standards but with encouragement to use calculators/spreadsheets; good data analysis in comp sci if not super detailed,State-level plan; make comp sci more widespread/mandatory (is better than other states),,https://www.ride.ri.gov/InstructionAssessment/ContentStandards.aspx#44071958-mathematics-standards,Standard but thorough instruction in stats/probability in math standards,https://www.ride.ri.gov/Portals/0/Uploads/Documents/Instruction-and-Assessment-World-Class-Standards/Other-Subjects/RI_CS_Ed_Standards_NEW041818.pdf,"Comp sci standards involve modeling data, analysis of data sets, vizualization, fairly thorough",Adopted,,N/A,"In math, comp sci","Brand new math standards, comp sci standards fairly new",middle and high school,4 years of math,,"standards statewide, comp sci widely available","3 years, including Alg I, Alg II, Geo",,,
South Carolina,,,D,D,D,"South Carolina has good statistics standards in middle school, but very limited data science standards at the high school level. However, the state offers optional data analysis classes to all students. We suggest making mandatory some of the at-present optional classes, and acheiving a more explicit state focus on data science. ","Good middle school stats, but very little in Alg I/Alg II. Optional class has good data analysis",Some of the optional class standards should move to mandatory classes; more state focus on data analysis as opposed to stats,,https://ed.sc.gov/instruction/standards-learning/mathematics/standards/south-carolina-department-of-education-mathematics-priority-and-support-learning-standards/,"Math standards include basic stats, analyzing claims/data in published material, fitting trend lines to data, etc ",https://ed.sc.gov/instruction/standards-learning/computer-science/standards/,"Com sci standards cover data vizualization and collection, and modeling to find trends/prediction",Standards based off NGSS framework,not clear,N/A,"In math, comp sci","Comp sci required for graduation, eliminated option to take keyboarding to fill requirement","High school, bit in middle school","4 years of math, 1 year of computer science required to graduate",,comp sci and math standards required and statewide,"4 years, including Alg I, Geo, Alg II, and something beyond Alg II such as precalc or comp sci",,,
South Dakota,,,F,F,F,South Dakota has very limited standards regarding data science. The state adopts the Common Core with no additional standards. We suggest starting by incorporating more data analysis into math standards and/or piloting electives on data science.,Usual cc standards,State-level plan; add more data science into math standards; other classes,,https://doe.sd.gov/contentstandards/documents/0521-Math-Standards.pdf,"Stats section of math standards is vague, not very detailed and quite short",N/A,"No comp sci standards,",Standards based off NGSS framework,"Standards cover some math and stats for business, Stem applications",N/A,In math,Math standards are fairly new,high school,"3 units of math, including Alg I. Alg II and Geo are recommended for advanced endorsements","Comp sci can be a science elective, though it can't replace bio",comp sci not widespread,"3 years ""advanced mathematics""",,,
Tennessee,,,D-,D,D-,"Tennessee adopts Common Core math standards, which include very limited standards regarding data science and applied statistics. However, the state has adapted the Common Core standards to include more detail regarding data analysis. We suggest incorporating data analysis standards into the math framework or piloting data science electives in tandem with other disciplines.","CC standards, though a bit more detailed",State-level plan; add more data science into math standards; other classes,,https://www.tn.gov/content/dam/tn/education/standards/math/stds_math.pdf,"Thorough stats standards that covers data plots, variables, distributions, experiments, drawing conclusions, etc",https://www.tn.gov/education/instruction/academic-standards/computer-science.html,"The AP comp sci courses cover a bit of dealing with data sets, the CTE courses don't cover data science",Standards based off NGSS framework,"Most coding courses in high school are part of CTE; bit of data analysis in marketing, other CTE programs",N/A,In math,"Little initiative, recent education efforst weren't successful",middle and high school for math,"4 credits required, including Alg I, Geo, Alg II, and a ""higher level math course""","CTE counts for elective credit, AP comp sci can sub for fourth year math course",comp sci not as common,"Depends on campus, but 2-4 units advanced math",,,
Texas,,,D+,D,D+,"Texas has some standards regarding data science. The state is also offering optional math classes with data analysis components. However, we feel that the offerings are slightly outdated insofar as they include limited usage of technological tools. We suggest transitioning some data science concepts into required classes, as well as encouraging more use of technology in existing data analysis modules.","Standards have bit of data science, some more in optional math classes",State-level plan; transition some data science concepts into required classes; more use of technology,,https://tea.texas.gov/academics/curriculum-standards/teks-review/mathematics-texas-essential-knowledge-and-skills,"Main math courses contain a little bit of stats, elective Quantitative Reasoning includes stats and alg reasoning, Statistics is also an option",https://tea.texas.gov/sites/default/files/TechAppsEC-12andCompSci8-12Standards.pdf,Comp sci classes seem fairly coding heavy,No,"Data analysis section in business management courses, marketing",N/A,In math,Little initiative,high school,"3 credits required in math, including Alg I, Geo, and another advanced course that can include mathematical modeling and other applied math courses ","Language requirement is two credits, which can be done through comp sci (reg or AP); is language/comp sci tradeoff good?","comp sci not very widespread, math standards statewide","3 required, 4 recommended, all Alg I or higher and including Alg II",,,
Utah,,,B-,B,B-,"Utah has great standards for applied statistics, which should be easily transferrable to data science and already emphasize computer technology. The state has also incorporated some data science standards in the computer science framework. Finally, Utah now offers a micro-credential for teachers who wish to teach data science in mathematics. We suggest further expanding and elaborating on data science standards in mathematics in both high school and K-8, included a core sequence or standards requirement.",Decent stats standards; small bit of data analysis in comp sci,State-level plan; expand and elaborate on standards in math and comp sci,,https://www.schools.utah.gov/curr/mathematics/core?mid=4514&tid=2,"Basic stats instruction, especially relating to small data sets and plots/trend lines",https://www.schools.utah.gov/file/f3b4705c-6a60-437c-a499-b0f1cd7d16ff,"Somewhat vague standards, core and additional for high school, covering data vizualization and representation",Standards based off NGSS framework,not clear,N/A,"A bit in math, comp sci",Has multiple options for comp sci,high school,"Requires Secondary Maths I, II, III, can replace Secondary III with approved course from list which include programming","Requires 1 credit CTE, 0.5 credits digital studies, and 2 credits of science. Comp sci can count for CTE or science.",Comp sci fairly widespread,2 years beyond elementary algebra (essentialy usual sequence),,,
Vermont,,,F,F,F,Vermont has very limited standards regarding data science. The state adopts the Common Core with no additional standards. We suggest starting by incorporating more data analysis into math standards and/or piloting electives on data science. ,Usual cc standards,"State-level plan; add standards related to data science into math, other classes",,https://education.vermont.gov/student-learning/content-areas/mathematics,"Uses common core for math, section in high school on interpreting data, not very detailed/practical",N/A,No comp sci standards for the state,Adopted,decentralized,N/A,"In math, potentially in comp sci depending on district level",No,high school,"Appears to be 3 units of math, though I could not find this info on the state website itself","Lists ""graduation proficiences"" it wants students to meet","comp sci has decently widespread, but few students taking AP","3 years including Alg I, Alg II, Geo",,,
Virginia,April any updates here? VA Math Pathways was totally scrapped in Janurary with new governor. Idk if you have conversations with them recently. I don't have enough current context to assess.,"The board meeting is delayed till mid April. However, Deb Crawford has told me that the DS pilot will move forward this year with or without final approval from state board. ",A-,A,A-,"Virginia has a complete math initiative to modernize its currciulum, which includes mandatory data analysis standards for the first two years of high school. Afterwards, the state also offers options for data science courses. The standards just passed the state's board of education in November and will be implemented soon after. Modernized standards that incorporate computer technology in data analysis are also being developed for K-8.","Math initiative to modernize curriculum includes mandatory data analysis standards for 1st two years of high school, then options for data science courses; however, standards still being written",Write clear standards and implement them to guarentee A; also ensure data science reaches into middle school,Talked to these people? What's the general opinion?,https://www.doe.virginia.gov/instruction/mathematics/index.shtml,"Has initiative to make high school math pathway more flexible; currently developing the curricula but wants to include data analysis, modeling, and more in form of modules--looks really good",https://www.doe.virginia.gov/testing/sol/standards_docs/computer-science/index.shtml,Current standards have stats in math and data analysis in comp sci,No,"In marketing, business",N/A,Going to become separate classes and modules,Lot of initiative to make math curriculum better,High school,"3 required math classes from approved list (including data analysis), comp sci can count as one of them",,"Comp sci widespread now, has funding; math changes coming 2023",doesn't list,,,May end up having fights over math program and accelerated courses
Washington,April any updates here? I know they had ongoing work on the Algebra II stuff.,No updates from Washington. Keep the original grade.,D-,D,D-,"Washington adopts Common Core math standards, which include very limited standards regarding data science. However, the state also has adopted technology standards required for middle and high school students, which cover vizualizing and modeling data (CSTA). We suggest expanding data analysis in math, potentially making data science education mandatory. ",Usual cc standards; essentialy CSTA comp sci standards,"State-level plan; add on and expand standards in math, comp sci, other classes; make mandatory",,https://www.k12.wa.us/student-success/resources-subject-area/mathematics/mathematics-k12-learning-standards,"Uses common core for math, section in high school on interpreting data, not very detailed/practical",https://www.k12.wa.us/student-success/resources-subject-area/computer-science,Comp sci standards cover data science but are very vague,Adopted,CTE has little relevant material,N/A,"In math, comp sci","Has funding for comp sci, not much else",high school,"3 credits of math required, 1 credit of CTE",,"Cs required in high schools, not terribly popular",3 years math,,,
West Virginia,,,C-,C,C-,"West Virginia adopts Common Core math standards with more emphasis on technology use. The state also offers an optional Advanced Modeling class, which contains modules statistics and working with data. However, we feel that the existing standards are still vague with regards to data science competencies. We suggest expanding data analysis in math, potentially making data science education mandatory. ","Usual cc standards with a bit more emphasis on technology use; optional Advanced Modeling class contains stats, working with data; vague mention of using data in comp sci","State-level plan; more on data analysis in math, comp sci, other classes",How much credit does optional course give you?,https://wvde.us/wp-content/uploads/2019/07/wvccr-math-traditional.pdf,Good stats (w/ practical applications) instruction in Alg II; the Advanced Modeling option for fourth year math covers statistical analysis and modeling data w/ technology,https://apps.sos.wv.gov/adlaw/csr/readfile.aspx?DocId=50990&Format=PDF,Vague mention of data representation in comp sci standards,Standards based off NGSS framework,,N/A,"In math, bit in comp sci",Some focus on comp sci,"high school, bit of stats in middle school","Requires Maths I-IV, can sub relevant AP courses; CTE required in some cases if not meeting college standards",,"Standards statewide, comp sci decently widespread","3 years including Alg I, Alg II or higher",,,
Wisconsin,,,D,D,D,"Wisconsin adopts Common Core math standards, which include very limited standards regarding data science. However, the state has good standards regarding data analysis in the comptuer science framework. We suggest expanding data analysis in math, potentially making data science education mandatory. ",CC standards; good standards on data analysis for comp sci,State-level plan; more on data science in math; could make comp sci mandatory,,https://dpi.wi.gov/sites/default/files/imce/standards/New%20pdfs/MathematicsStandards2021.pdf,"Basic stats section in required math standards, little more detail if the additional standards are taken",https://dpi.wi.gov/sites/default/files/imce/standards/New%20pdfs/ComputerScienceStandards2016.pdf,Some data analysis (though heavy computer focus) in comp sci standards,Standards based off NGSS framework,,N/A,"In math, bit in comp sci",not much focus,"high school, some in middle school","3 math credits required, comp sci can be used as one of the credits",,"standards staewide, comp sci not really widespread","4 years, including Alg, Geo, and advanced alg",,,
Wyoming,,,D+,D,D+,"Wyoming has decent data science standards, especially in middle school years. The state also includes data analysis content in the computer science framework. We suggest adding in more detailed standards focusing on data interpretation and visualization.","Standards seem to cover more data analysis than cc, esp in middle school (seems built off cc standards); decent data analysis in comp sci","State-level plan; could still add in some more standards; more focus on data interpretation, making comp sci more widespread",,https://edu.wyoming.gov/wp-content/uploads/2021/04/2020-Math-Extended-Standards-effective-4.7.21.pdf,"Fairly detailed stats section in math standards, gives detailed examples of stats problems but nothing with larger data sets",https://edu.wyoming.gov/wp-content/uploads/2021/04/2020-CS-WYCPS-with-all-PLDs-effective-04.07.21.pdf,"Comp sci standards cover modeling and data analysis, specific but not very detailed",Standards based off NGSS framework,,N/A,"In math, comp sci",Comp sci standards are new,"high school, bit in middle school",3 years of math required; 3 years of science,One year of science can be comp sci,"Comp sci required in high schools, but not always taken","4 years, including Alg I, Geo, and Alg II",,,
D.C,Increased grade given teacher PD pilot. We should recnogize at least a C.,Upped,C,C,D,"The District of Columbia adopts Common Core math standards, which include very limited standards regarding data science. However, DC has some standards related to data science in the computer science framework. Additionally, DC Public Schools is piltoing a professional development program for mathematics educators in partnership with America University to bring data science courses to the district in future school years. We suggest expanding data analysis in math, and potentially making data science education mandatory.",CC standards; bit of data analysis in comp sci,"State-level plan; add more standards into math, comp sci, other classes",,https://osse.dc.gov/page/common-core-state-standards-mathematics,"Uses common core for math, section in high school on interpreting data, not very detailed/practical",https://osse.dc.gov/publication/computer-science-standards,"Comp sci standards (recommended, not city-made) used have data analysis section, but vague",Standards based off NGSS framework,Some data analysis in the business part of CTE,N/A,"In math, comp sci","Doesn't seem to be much focus on comp sci or math, but also much smaller scale (have fairly rigorous standards but do care a lot about education, require a lot of community service)",high school,"4 years of math, including Alg I, Geo, Alg II",,comp sci not widespread,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"50-State Report Logistics:
- How did you quantify whether or not a course is widely taken?

High level questions:
- Styling of the report. 
- One of the key question is who are we evaluating. Take Alabama vs. California. There is a lot of momentum in CA from on-the-ground entities, but the state hasnt done a lot, precisely because it doesnt need to. Alabama, on the other hand, has great state mandates, but on the ground situation might be much worse, since public universities still requiring the Geometry sandwich to be taught. 
- Should we count standards in com sci as evidence? Or should we focus on math curriculum?",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Can track whether states fund PD for comp sci; is that useful? Prob won't affect data science much,,,,,,,,,,,,,,,,,,,,,,,,,